,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
62,2019-07-11,17.263520143783097,-24.74824809100067,56.71672909882544,17.263520143783097,17.263520143783097,-0.3717227275551694,-0.3717227275551694,-0.3717227275551694,-0.6361153161252054,-0.6361153161252054,-0.6361153161252054,0.26439258857003617,0.26439258857003617,0.26439258857003617,0.0,0.0,0.0,16.891797416227927
63,2019-07-12,17.272672512037808,-22.715112382754015,55.60884247406827,17.272672512037808,17.272672512037808,-0.29683532316296973,-0.29683532316296973,-0.29683532316296973,-1.1376209723657593,-1.1376209723657593,-1.1376209723657593,0.8407856492027896,0.8407856492027896,0.8407856492027896,0.0,0.0,0.0,16.975837188874838
64,2019-07-15,17.300129616801943,-18.087964661670004,59.07648035057783,17.300129616801943,17.300129616801943,2.9078178860589223,2.9078178860589223,2.9078178860589223,0.6688321581617126,0.6688321581617126,0.6688321581617126,2.23898572789721,2.23898572789721,2.23898572789721,0.0,0.0,0.0,20.207947502860865
65,2019-07-16,17.309281985056653,-21.071456330559297,58.87539140958495,17.309281985056653,17.309281985056653,2.2993946296339245,2.2993946296339245,2.2993946296339245,-0.29383874748945793,-0.29383874748945793,-0.29383874748945793,2.5932333771233824,2.5932333771233824,2.5932333771233824,0.0,0.0,0.0,19.608676614690577
66,2019-07-17,17.318434353311364,-19.82585491188599,61.99881258536048,17.318434353311364,17.318434353311364,2.8941591009932472,2.8941591009932472,2.8941591009932472,-0.0001340607280099487,-0.0001340607280099487,-0.0001340607280099487,2.894293161721257,2.894293161721257,2.894293161721257,0.0,0.0,0.0,20.21259345430461
67,2019-07-18,17.327586721566075,-20.924466138901536,61.625534264695425,17.327586721566075,17.327586721566075,2.509562390528713,2.509562390528713,2.509562390528713,-0.6361153161210357,-0.6361153161210357,-0.6361153161210357,3.1456777066497486,3.1456777066497486,3.1456777066497486,0.0,0.0,0.0,19.83714911209479
68,2019-07-19,17.336739089820785,-20.33059536940479,58.759578229261045,17.336739089820785,17.336739089820785,2.214326546594214,2.214326546594214,2.214326546594214,-1.13762097236774,-1.13762097236774,-1.13762097236774,3.3519475189619543,3.3519475189619543,3.3519475189619543,0.0,0.0,0.0,19.551065636415
69,2019-07-22,17.36419619458492,-16.424670506830964,62.31880235377125,17.36419619458492,17.36419619458492,4.42612567115818,4.42612567115818,4.42612567115818,0.6688321581607933,0.6688321581607933,0.6688321581607933,3.757293512997386,3.757293512997386,3.757293512997386,0.0,0.0,0.0,21.7903218657431
70,2019-07-23,17.37334856283963,-20.09439552382159,59.75451418514797,17.37334856283963,17.37334856283963,3.5488281797158403,3.5488281797158403,3.5488281797158403,-0.29383874749115785,-0.29383874749115785,-0.29383874749115785,3.8426669272069987,3.8426669272069987,3.8426669272069987,0.0,0.0,0.0,20.92217674255547
71,2019-07-24,17.38250093109434,-21.15611741289622,62.19168533298513,17.38250093109434,17.38250093109434,3.9141044193267476,3.9141044193267476,3.9141044193267476,-0.00013406072823441635,-0.00013406072823441635,-0.00013406072823441635,3.9142384800549817,3.9142384800549817,3.9142384800549817,0.0,0.0,0.0,21.29660535042109
